upid,tgtplatethickness1,tgtwidth,steelspec,discharge,rm_time,fm_time,staying_time_pre,staying_time_1,staying_time_2,staying_time_soak,in_fce_time,cooltime,discharge_rm-fm
18923121000,0.02964,2.578,Q550CFD,95.702,189.458,121.297,128,70,84,46,329,17.429,246.135
18923122000,0.02964,2.577,Q550CFD,98.897,178.764,116.683,138,69,86,47,341,17.439,232.167
18923123000,0.02964,2.577,Q550CFD,100.552,169.683,119.905,128,60,90,51,330,17.431,223.635
18923124000,0.02964,2.577,Q550CFD,122.693,168.954,120.574,126,70,83,49,329,17.438,223.111
18923125000,0.02964,2.577,Q550CFD,112.645,163.487,129.164,129,69,84,48,331,17.437,229.584
18923126000,0.02964,2.577,Q550CFD,133.342,117.983,142.713,133,67,88,47,336,17.437,248.783
18923127000,0.04462,2.232,SM490A,80.9,173.238,66.766,126,59,85,60,331,0,413.28
18923128000,0.03968,2.592,SM490A,106.324,245.865,82.704,135,60,85,48,329,0,361.586
18923129000,0.03467,2.392,SM490A,150.782,209.858,86.02,128,67,87,49,332,0,294.626
18923130000,0.03467,2.392,SM490A,137.446,192.429,92.832,128,67,89,49,333,0,315.458
18923131000,0.02769,1.885,SM490A,54.904,192.567,95.231,134,58,86,66,345,0,173.325
18923132000,0.0247,2.085,SM490A,95.933,174.061,95.562,137,58,90,51,337,0,199.053
18923133000,0.0197,2.088,SM490A,76.794,172.375,128.493,139,78,68,54,339,0,120.769
18923134000,0.0197,2.088,SM490A,57.603,177.517,120.755,128,88,70,54,340,0,149.904
18923135000,0.0197,2.088,SM490A,109.454,142.796,123.977,133,59,86,68,348,0,144.673
18923136000,0.0197,2.088,SM490A,124.369,141.747,119.674,136,82,67,53,339,0,154.41
18923137000,0.0197,2.088,SM490A,103.475,157.639,120.054,137,82,66,55,341,0,119.463
18923138000,0.0197,2.088,SM490A,95.329,133.624,111.982,127,82,78,52,341,0,107.528
18923139000,0.0197,2.088,SM490A,76.358,152.647,115.053,136,80,66,67,350,0,96.388
18923140000,0.0197,2.088,SM490A,101.175,130.746,118.309,130,82,64,63,340,0,121.493
18923141000,0.0197,2.088,SM490A,76.797,134.591,116.54,130,81,66,62,340,0,113.133
18923142000,0.0197,2.088,SM490A,58.703,132.76,112.888,130,80,76,54,341,0,94.23
18923143000,0.0197,2.088,SM490A,51.566,132.477,119.281,137,71,76,66,350,0,167.088
18923144000,0.0197,2.088,SM490A,81.266,153.314,115.02,129,81,67,62,340,0,174.432
18923145000,0.0197,2.088,SM490A,49.864,133.812,120.669,130,82,66,63,342,0,202.188
18923146000,0.0197,2.088,SM490A,57.551,123.409,118.024,136,84,77,54,352,0,180.673
